username,email,full_name,password
omer.yildiz,omer.yildiz@example.com,Ömer Yıldız,patient123
fatma.kara,fatma.kara@example.com,Fatma Kara,patient123
mustafa.demir,mustafa.demir@example.com,Mustafa Demir,patient123
ayse.celik,ayse.celik@example.com,Ayşe Çelik,patient123
mehmet.tas,mehmet.tas@example.com,Mehmet Taş,patient123
elif.arican,elif.arican@example.com,Elif Arıcan,patient123
burak.sari,burak.sari@example.com,Burak Sarı,patient123
zeynep.ozkan,zeynep.ozkan@example.com,Zeynep Özkan,patient123
ahmet.ergun,ahmet.ergun@example.com,Ahmet Ergün,patient123
sevgi.kurt,sevgi.kurt@example.com,Sevgi Kurt,patient123
